Numbs,School Year,Totals Female: Asians (Tot. F),Totals Female: Black/African American (Tot. F),Totals Female: Hispanics of any race (Tot. F),Totals Female: American Indian/Alaska Native (Tot. F),Totals Female: Native Hawaiian/Other Pacific Islander (Tot. F),Totals Female: Two or more races (Tot. F),Totals Female: White (Tot. F)
1523,2008-2009,,,,,,,
1524,2009-2010,,,,,,,
1525,2010-2011,,,,,,,
1526,2011-2012,,,,,,,
1527,2005-2006,,,,,,,
1528,2006-2007,,,,,,,
1529,2007-2008,,,,,,,
1530,2008-2009,,,,,,,
1531,2009-2010,,,,,,,
1532,2005-2006,,,,,,,
1533,2006-2007,,,,,,,
1534,2007-2008,,,,,,,
1535,2008-2009,,,,,,,
1536,2009-2010,,,,,,,
1537,2005-2006,,,,,,,
1538,2006-2007,,,,,,,
1539,2007-2008,,,,,,,
1540,2008-2009,,,,,,,
1541,2009-2010,,,,,,,
1542,2005-2006,,,,,,,
1543,2006-2007,,,,,,,
1544,2007-2008,,,,,,,
1545,2008-2009,,,,,,,
1546,2009-2010,,,,,,,
1547,2005-2006,,,,,,,
1548,2006-2007,,,,,,,
1549,2007-2008,,,,,,,
1550,2008-2009,,,,,,,
1551,2009-2010,,,,,,,
1552,2004-2005,,,,,,,
1553,2005-2006,,,,,,,
1554,2006-2007,,,,,,,
1555,2007-2008,,,,,,,
1556,2008-2009,,,,,,,
1557,2009-2010,,,,,,,
1558,2015-2016,,,,,,,
1559,2004-2005,8,1,1,0,0,2,4
1560,2005-2006,1,1,2,0,0,2,4
1561,2006-2007,0,1,2,0,0,2,4
1562,2007-2008,3,0,2,0,0,3,2
1563,2008-2009,4,0,2,0,0,3,3
1564,2009-2010,7,1,4,0,0,5,4
1565,2010-2011,10,1,2,0,0,2,11
1566,2011-2012,9,1,4,0,1,2,7
1567,2012-2013,9,0,4,0,0,2,9
1568,2013-2014,9,2,3,0,0,2,8
1569,2014-2015,13,3,4,0,0,5,10
1570,2015-2016,24,3,4,,,7,11
1571,2016-2017,27,4,8,1,0,7,15
1572,2015-2016,8,,1,,,1,5
1573,2010-2011,5,0,4,0,0,2,3
1574,2011-2012,7,0,2,0,0,3,7
1575,2012-2013,5,0,2,0,1,3,6
1576,2013-2014,4,0,1,0,1,4,8
1577,2014-2015,8,0,1,0,1,2,7
1578,2016-2017,8,,,,,1,3
1579,2004-2005,,,,,,,
1580,2005-2006,,,,,,,
1581,2006-2007,,,,,,,
1582,2007-2008,,,,,,,
1583,2008-2009,,,,,,,
1584,2009-2010,,,,,,,
1585,2010-2011,,,,,,,
1586,2011-2012,,,,,,,
1587,2004-2005,,,,,,,
1588,2005-2006,,,,,,,
1589,2006-2007,,,,,,,
1590,2007-2008,,,,,,,
1591,2008-2009,,,,,,,
1592,2009-2010,,,,,,,
1593,2010-2011,,,,,,,
1594,2011-2012,,,,,,,
1595,2004-2005,,,,,,,
1596,2005-2006,,,,,,,
1597,2006-2007,,,,,,,
1598,2007-2008,,,,,,,
1599,2008-2009,,,,,,,
1600,2009-2010,,,,,,,
1601,2010-2011,,,,,,,
1602,2011-2012,,,,,,,
1603,2004-2005,,,,,,,
1604,2005-2006,,,,,,,
1605,2006-2007,,,,,,,
1606,2007-2008,,,,,,,
1607,2008-2009,,,,,,,
1608,2009-2010,,,,,,,
1609,2010-2011,,,,,,,
1610,2011-2012,,,,,,,
1611,2004-2005,,,,,,,
1612,2005-2006,,,,,,,
1613,2006-2007,,,,,,,
1614,2007-2008,,,,,,,
1615,2008-2009,,,,,,,
1616,2009-2010,,,,,,,
1617,2010-2011,,,,,,,
1618,2011-2012,,,,,,,
1619,2004-2005,,,,,,,
1620,2005-2006,,,,,,,
1621,2006-2007,,,,,,,
1622,2007-2008,,,,,,,
1623,2008-2009,,,,,,,
1624,2009-2010,,,,,,,
1625,2010-2011,,,,,,,
1626,2011-2012,,,,,,,
1627,2004-2005,,,,,,,
1628,2005-2006,,,,,,,
1629,2006-2007,,,,,,,
1630,2007-2008,,,,,,,
1631,2008-2009,,,,,,,
1632,2009-2010,,,,,,,
1633,2010-2011,,,,,,,
1634,2011-2012,,,,,,,
1635,2004-2005,,,,,,,
1636,2005-2006,,,,,,,
1637,2006-2007,,,,,,,
1638,2007-2008,,,,,,,
1639,2008-2009,,,,,,,
1640,2009-2010,,,,,,,
1641,2010-2011,,,,,,,
1642,2011-2012,,,,,,,
1643,2015-2016,,,,,,,
1644,2015-2016,,,,,,,
1645,2014-2015,1,1,5,0,0,0,4
1646,2014-2015,1,5,5,0,0,0,10
1647,2004-2005,,,,,,,
1648,2005-2006,,,,,,,
1649,2006-2007,,,,,,,
1650,2007-2008,,,,,,,
1651,2008-2009,,,,,,,
1652,2009-2010,,,,,,,
1653,2010-2011,,,,,,,
1654,2011-2012,,,,,,,
1655,2015-2016,1,1,5,1,0,0,13
1656,2015-2016,1,2,0,0,0,1,13
1657,2015-2016,3,34,15,2,1,2,92
1658,2009-2010,,,,,,,
1659,2010-2011,,,,,,,
1660,2011-2012,,,,,,,
1661,2004-2005,,,,,,,
1662,2005-2006,,,,,,,
1663,2006-2007,,,,,,,
1664,2007-2008,,,,,,,
1665,2008-2009,,,,,,,
1666,2009-2010,,,,,,,
1667,2010-2011,,,,,,,
1668,2011-2012,,,,,,,
1669,2004-2005,,,,,,,
1670,2005-2006,,,,,,,
1671,2006-2007,,,,,,,
1672,2007-2008,,,,,,,
1673,2008-2009,,,,,,,
1674,2009-2010,,,,,,,
1675,2010-2011,,,,,,,
1676,2011-2012,,,,,,,
1677,2004-2005,,,,,,,
1678,2005-2006,,,,,,,
1679,2006-2007,,,,,,,
1680,2007-2008,,,,,,,
1681,2008-2009,,,,,,,
1682,2009-2010,,,,,,,
1683,2010-2011,,,,,,,
1684,2011-2012,,,,,,,
1685,2005-2006,,,,,,,
1686,2006-2007,,,,,,,
1687,2007-2008,,,,,,,
1688,2008-2009,,,,,,,
1689,2009-2010,,,,,,,
1690,2010-2011,,,,,,,
1691,2011-2012,,,,,,,
1692,2010-2011,,,,,,,
1693,2011-2012,,,,,,,
1694,2004-2005,,,,,,,
1695,2005-2006,,,,,,,
1696,2006-2007,,,,,,,
1697,2007-2008,,,,,,,
1698,2008-2009,,,,,,,
1699,2009-2010,,,,,,,
1700,2010-2011,,,,,,,
1701,2011-2012,,,,,,,
1702,2015-2016,,49,,,,,
1703,2004-2005,,,,,,,
1704,2005-2006,,,,,,,
1705,2006-2007,,,,,,,
1706,2007-2008,,,,,,,
1707,2008-2009,,,,,,,
1708,2009-2010,,,,,,,
1709,2010-2011,,,,,,,
1710,2011-2012,,,,,,,
1711,2004-2005,,,,,,,
1712,2005-2006,,,,,,,
1713,2006-2007,,,,,,,
1714,2007-2008,,,,,,,
1715,2008-2009,,,,,,,
1716,2004-2005,,,,,,,
1717,2005-2006,,,,,,,
1718,2006-2007,,,,,,,
1719,2007-2008,,,,,,,
1720,2008-2009,,,,,,,
1721,2004-2005,3,1,0,0,0,5,1
1722,2005-2006,3,3,0,0,0,3,0
1723,2006-2007,,,,,,,
1724,2007-2008,3,1,,,,,6
1725,2008-2009,,1,,,,,4
1726,2009-2010,,1,,,,1,4
1727,2010-2011,2,,1,,,1,6
1728,2011-2012,1,,,,,1,5
1729,2012-2013,1,1,,,,,9
1730,2013-2014,,1,1,,,,6
1731,2014-2015,1,3,1,,,1,5
1732,2015-2016,2,3,1,,,1,6
1733,2004-2005,0,0,0,0,0,5,1
1734,2005-2006,1,0,0,0,0,2,3
1735,2006-2007,,,,,,,
1736,2007-2008,,,1,,,,3
1737,2008-2009,,,1,,,,
1738,2009-2010,,,,,,,4
1739,2014-2015,1,,1,,,,2
1740,2010-2011,1,,,,,,3
1741,2011-2012,1,,,,,,3
1742,2015-2016,,,,,,,
1743,2012-2013,2,,,,,,2
1744,2013-2014,,,1,,,,2
1745,2008-2009,,,,,,,
1746,2009-2010,,,,,,,
1747,2010-2011,,,,,,,
1748,2011-2012,,,,,,,
1749,2004-2005,0,2,0,0,0,0,6
1750,2005-2006,1,0,0,0,0,1,3
1751,2006-2007,,,,,,,
1752,2007-2008,1,,,,,,2
1753,2008-2009,,,,,,,1
1754,2009-2010,,,,,,,1
1755,2010-2011,1,,,,,,3
1756,2011-2012,1,,,,,,3
1757,2012-2013,2,,,,,,2
1758,2015-2016,2,1,,1,,,3
1759,2013-2014,,,1,,,,2
1760,2014-2015,1,,1,,,,2
1761,2015-2016,7,12,4,,,2,15
1762,2014-2015,1,1,,,,,1
1763,2004-2005,4,5,3,0,0,6,17
1764,2005-2006,2,1,2,0,0,2,18
1765,2006-2007,,,,,,,
1766,2007-2008,1,4,1,,,,17
1767,2008-2009,4,5,3,,,,20
1768,2009-2010,5,5,1,,,,16
1769,2010-2011,3,8,2,,,1,23
1770,2011-2012,4,9,3,,,1,18
1771,2013-2014,4,8,4,,1,,17
1772,2012-2013,5,8,3,,2,,19
1773,2014-2015,6,9,5,,1,,25
1774,2015-2016,,1,1,,,1,8
1775,2003-2004,18,8,9,1,0,3,19
1776,2004-2005,13,4,3,1,0,0,18
1777,2005-2006,4,5,3,1,,0,11
1778,2006-2007,0,3,1,,,0,3
1779,2007-2008,0,1,4,,,1,3
1780,2008-2009,0,0,2,,,1,1
1781,2009-2010,,1,2,,,1,3
1782,2010-2011,3,0,2,,,0,1
1783,2011-2012,1,0,3,,,0,1
1784,2012-2013,2,1,4,0,0,,3
1785,2013-2014,2,1,6,0,0,,7
1786,2014-2015,1,1,5,0,0,,10
1787,2015-2016,3,1,5,0,0,0,13
1788,2016-2017,6,1,2,0,0,0,15
1789,2007-2008,4,0,0,,,0,5
1790,2003-2004,13,0,0,,,,13
1791,2004-2005,8,0,0,,,0,9
1792,2005-2006,2,0,0,0,,0,7
1793,2006-2007,4,0,0,0,,0,4
1794,2008-2009,4,1,0,,,0,7
1795,2009-2010,4,0,0,,,,7
1796,2010-2011,,1,0,,,,4
1797,2011-2012,4,1,0,,,,11
1798,2012-2013,3,1,1,0,0,,12
1799,2013-2014,7,1,2,0,0,0,8
1800,2014-2015,8,2,2,0,0,,20
1801,2015-2016,9,1,4,0,0,0,20
1802,2016-2017,10,1,4,0,0,0,25
1803,2003-2004,6,6,3,,,0,7
1804,2004-2005,2,3,3,,,1,6
1805,2005-2006,5,3,2,,,1,10
1806,2006-2007,4,2,1,,,1,9
1807,2007-2008,5,2,1,,,1,7
1808,2008-2009,4,2,2,,,0,9
1809,2009-2010,4,2,2,,,2,7
1810,2010-2011,6,1,2,,,2,7
1811,2011-2012,7,0,3,,,2,6
1812,2012-2013,1,0,1,0,0,,10
1813,2013-2014,2,0,1,0,0,,13
1814,2014-2015,4,0,3,0,0,,16
1815,2015-2016,2,0,4,0,0,0,20
1816,2016-2017,4,1,4,0,0,0,18
1817,2004-2005,,,,,,,
1818,2005-2006,,,,,,,
1819,2006-2007,,,,,,,
1820,2007-2008,,,,,,,
1821,2008-2009,,,,,,,
1822,2009-2010,,,,,,,
1823,2010-2011,,,,,,,
1824,2011-2012,,,,,,,
1825,2015-2016,,,,,,,
1826,2004-2005,,,,,,,
1827,2005-2006,,,,,,,
1828,2006-2007,,,,,,,
1829,2007-2008,,,,,,,
1830,2008-2009,,,,,,,
1831,2009-2010,,,,,,,
1832,2010-2011,,,,,,,
1833,2011-2012,,,,,,,
1834,2008-2009,,,,,,,
1835,2009-2010,,,,,,,
1836,2010-2011,,,,,,,
1837,2011-2012,,,,,,,
1838,2006-2007,1,2,2,0,0,0,29
1839,2007-2008,1,3,4,0,0,0,25
1840,2008-2009,3,0,4,0,0,0,26
1841,2009-2010,2,2,8,0,0,0,29
1842,2010-2011,4,2,14,0,0,1,29
1843,2011-2012,4,1,13,0,0,2,41
1844,2015-2016,2,2,18,0,0,2,25
1845,2012-2013,9,3,8,0,0,1,38
1846,2013-2014,9,4,11,0,0,1,25
1847,2014-2015,5,3,11,0,0,3,18
1848,2004-2005,,,,,,,
1849,2005-2006,,,,,,,
1850,2006-2007,4,1,5,0,0,0,19
1851,2007-2008,3,1,3,0,0,0,20
1852,2008-2009,3,1,5,1,0,0,24
1853,2009-2010,4,4,4,1,0,0,26
1854,2010-2011,5,5,7,0,0,1,29
1855,2011-2012,7,3,9,1,0,2,33
1856,2012-2013,6,3,12,1,0,3,28
1857,2013-2014,7,3,14,1,0,4,31
1858,2014-2015,8,6,16,1,0,1,28
1859,2015-2016,12,7,16,0,0,3,38
1860,2009-2010,5,6,11,2,0,0,44
1861,2010-2011,8,6,13,1,0,0,45
1862,2011-2012,9,5,15,2,1,0,49
1863,2012-2013,9,7,22,2,1,0,49
1864,2013-2014,11,9,27,1,0,0,50
1865,2014-2015,10,8,22,1,0,0,38
1866,2015-2016,12,7,25,0,0,0,55
1867,2009-2010,10,8,14,1,0,0,37
1868,2010-2011,12,7,16,0,1,0,47
1869,2011-2012,20,5,27,0,0,0,58
1870,2012-2013,20,4,32,0,0,0,77
1871,2013-2014,25,6,32,0,1,0,72
1872,2014-2015,20,5,22,0,1,0,50
1873,2015-2016,20,3,26,0,1,0,54
1874,2006-2007,11,7,16,0,0,0,33
1875,2007-2008,10,7,13,0,0,0,44
1876,2008-2009,6,3,14,0,0,0,43
1877,2009-2010,10,7,10,1,0,0,37
1878,2010-2011,11,7,16,0,1,2,43
1879,2011-2012,15,5,22,0,0,3,53
1880,2012-2013,17,4,26,0,0,4,67
1881,2013-2014,23,6,29,0,1,6,60
1882,2014-2015,21,5,22,0,1,4,45
1883,2015-2016,21,3,27,1,1,4,58
1884,2013-2014,0,0,1,0,0,0,1
1885,2014-2015,6,0,8,0,0,0,3
1886,2015-2016,5,1,12,0,0,1,4
1887,2006-2007,0,2,10,0,0,0,16
1888,2007-2008,2,3,13,0,0,0,23
1889,2008-2009,2,3,14,0,0,0,19
1890,2009-2010,3,3,12,0,0,0,17
1891,2010-2011,3,3,11,0,0,0,18
1892,2011-2012,3,3,10,0,0,0,15
1893,2012-2013,3,3,13,0,0,1,19
1894,2013-2014,4,3,20,0,0,0,23
1895,2014-2015,3,2,16,0,0,1,21
1896,2015-2016,3,1,16,0,0,1,18
1897,2009-2010,6,11,27,0,0,0,114
1898,2010-2011,7,11,21,0,0,0,103
1899,2011-2012,8,9,23,0,0,0,81
1900,2012-2013,6,9,24,0,0,0,89
1901,2013-2014,9,6,36,0,0,0,91
1902,2014-2015,11,5,39,0,0,0,83
1903,2015-2016,18,5,57,0,0,0,118
1904,2006-2007,7,11,16,1,0,0,83
1905,2007-2008,4,5,12,1,0,0,81
1906,2008-2009,1,4,14,0,0,0,88
1907,2009-2010,3,8,15,0,0,0,97
1908,2010-2011,5,8,10,0,0,3,85
1909,2011-2012,5,6,13,0,0,1,66
1910,2012-2013,3,6,11,0,0,2,70
1911,2013-2014,5,3,15,0,0,3,67
1912,2014-2015,5,4,17,0,0,3,74
1913,2015-2016,10,5,36,0,0,4,113
1914,2015-2016,0,0,1,0,0,0,4
1915,2009-2010,5,5,22,1,0,0,136
1916,2010-2011,6,5,30,2,1,0,129
1917,2011-2012,8,6,29,1,1,0,123
1918,2012-2013,8,3,37,0,0,0,130
1919,2013-2014,8,2,38,0,0,0,136
1920,2014-2015,6,2,27,0,0,0,100
1921,2015-2016,4,3,24,0,0,0,112
1922,2006-2007,5,6,16,0,0,0,123
1923,2007-2008,5,5,14,0,0,0,113
1924,2008-2009,5,5,14,1,0,0,120
1925,2004-2005,,,,,,,
1926,2005-2006,,,,,,,
1927,2006-2007,,,,,,,
1928,2007-2008,,,,,,,
1929,2008-2009,,,,,,,
1930,2009-2010,,,,,,,
1931,2010-2011,,,,,,,
1932,2011-2012,,,,,,,
1933,2004-2005,,,,,,,
1934,2005-2006,,,,,,,
1935,2006-2007,,,,,,,
1936,2007-2008,,,,,,,
1937,2008-2009,,,,,,,
1938,2009-2010,,,,,,,
1939,2010-2011,,,,,,,
1940,2011-2012,,,,,,,
1941,2004-2005,,,,,,,
1942,2005-2006,,,,,,,
1943,2006-2007,,,,,,,
1944,2007-2008,,,,,,,
1945,2008-2009,,,,,,,
1946,2009-2010,,,,,,,
1947,2010-2011,,,,,,,
1948,2011-2012,,,,,,,
1949,2015-2016,,,,,,,
1950,2005-2006,,,,,,,
1951,2006-2007,,,,,,,
1952,2007-2008,,,,,,,
1953,2008-2009,,,,,,,
1954,2009-2010,,,,,,,
1955,2005-2006,,,,,,,
1956,2006-2007,,,,,,,
1957,2007-2008,,,,,,,
1958,2008-2009,,,,,,,
1959,2009-2010,,,,,,,
1960,2015-2016,2,2,0,0,0,0,2
1961,2005-2006,,,,,,,
1962,2006-2007,,,,,,,
1963,2007-2008,,,,,,,
1964,2008-2009,,,,,,,
1965,2009-2010,,,,,,,
1966,2010-2011,,,,,,,
1967,2011-2012,,,,,,,
1968,2004-2005,,,,,,,
1969,2005-2006,,,,,,,
1970,2006-2007,,,,,,,
1971,2007-2008,,,,,,,
1972,2008-2009,,,,,,,
1973,2009-2010,,,,,,,
1974,2010-2011,,,,,,,
1975,2011-2012,,,,,,,
1976,2004-2005,,,,,,,
1977,2005-2006,,,,,,,
1978,2006-2007,,,,,,,
1979,2007-2008,,,,,,,
1980,2008-2009,,,,,,,
1981,2009-2010,,,,,,,
1982,2010-2011,,,,,,,
1983,2011-2012,,,,,,,
1984,2015-2016,15,3,8,4,2,14,56
1985,2004-2005,,,,,,,
1986,2005-2006,,,,,,,
1987,2006-2007,,,,,,,
1988,2007-2008,,,,,,,
1989,2008-2009,,,,,,,
1990,2009-2010,,,,,,,
1991,2010-2011,19,0,1,0,0,0,6
1992,2011-2012,29,0,1,0,0,0,12
1993,2012-2013,41,0,0,0,0,0,14
1994,2013-2014,66,0,5,0,0,0,16
1995,2014-2015,123,1,6,0,0,0,25
1996,2015-2016,143,0,6,0,0,0,26
1997,2016-2017,183,1,5,1,1,,17
1998,2008-2009,67,1,1,,,15,13
1999,2009-2010,75,1,,,,16,16
2000,2010-2011,79,1,0,0,0,0,22
2001,2011-2012,81,1,2,0,0,0,24
2002,2012-2013,88,2,2,0,0,0,24
2003,2013-2014,90,1,1,0,0,,27
2004,2014-2015,94,1,4,0,0,,26
2005,2016-2017,167,0,14,1,0,0,37
2006,2015-2016,118,2,9,0,0,,25
2007,2003-2004,190,6,7,1,0,0,31
2008,2004-2005,127,3,4,1,0,0,20
2009,2005-2006,82,0,4,1,0,0,21
2010,2006-2007,65,0,3,2,0,0,20
2011,2007-2008,68,1,4,2,0,0,18
2012,2008-2009,83,2,5,2,0,0,20
2013,2009-2010,97,5,7,2,0,0,16
2014,2010-2011,107,3,9,0,0,0,24
2015,2011-2012,138,3,15,0,0,0,24
2016,2012-2013,176,3,26,0,0,0,29
2017,2013-2014,244,5,48,0,0,0,33
2018,2014-2015,291,5,62,0,2,0,45
2019,2015-2016,341,5,63,1,3,0,53
2023,2014-2015,296,4,20,0,0,0,48
2024,2013-2014,256,3,27,0,0,0,34
2025,2012-2013,214,1,33,0,0,0,35
2026,2011-2012,143,3,24,0,0,0,36
2027,2010-2011,110,2,17,0,0,0,26
2028,2009-2010,90,1,15,2,0,0,23
2029,2008-2009,59,1,11,2,0,0,14
2030,2007-2008,48,0,7,1,0,0,19
2031,2006-2007,65,0,7,2,0,0,18
2032,2005-2006,69,0,8,1,0,0,18
2033,2004-2005,94,1,9,0,0,0,20
2034,2003-2004,129,3,10,0,0,0,28
2035,2008-2009,,,,,,,
2036,2009-2010,,,,,,,
2037,2007-2008,,,,,,,
2038,2008-2009,,,,,,,
2039,2009-2010,,,,,,,
2040,2007-2008,,,,,,,
2041,2008-2009,,,,,,,
2042,2009-2010,,,,,,,
2043,2007-2008,,,,,,,
2044,2008-2009,,,,,,,
2045,2009-2010,,,,,,,
2046,2007-2008,,,,,,,
2047,2008-2009,,,,,,,
2048,2009-2010,,,,,,,
2049,2008-2009,14,0,5,0,0,,16
2050,2009-2010,21,0,3,0,0,,21
2051,2010-2011,14,0,2,0,4,1,17
2052,2011-2012,17,1,6,0,3,1,18
2053,2012-2013,16,1,8,0,2,1,21
2054,2013-2014,15,0,10,0,0,2,28
2055,2014-2015,23,0,8,0,0,1,31
2056,2015-2016,23,0,10,0,0,3,28
2057,2004-2005,,,,,,,
2058,2005-2006,,,,,,,
2059,2006-2007,,,,,,,
2060,2007-2008,,,,,,,
2061,2014-2015,,,,,,,
2062,2005-2006,6,0,3,0,0,0,1
2063,2006-2007,5,0,3,0,0,0,1
2064,2007-2008,3,1,3,0,0,0,2
2065,2008-2009,10,3,4,0,0,0,4
2066,2009-2010,15,3,3,0,0,0,6
2067,2010-2011,12,2,5,0,1,0,7
2068,2011-2012,16,2,4,0,0,0,7
2069,2012-2013,15,0,8,0,0,0,10
2070,2013-2014,22,1,14,0,0,0,8
2071,2005-2006,4,0,2,0,0,1,2
2072,2006-2007,4,0,2,0,0,2,3
2073,2007-2008,6,0,1,0,0,1,4
2074,2008-2009,19,1,5,0,1,0,10
2075,2012-2013,29,5,19,1,0,0,25
2076,2011-2012,19,2,8,0,0,0,27
2077,2010-2011,20,2,6,0,0,0,26
2078,2009-2010,20,3,5,1,0,0,19
2079,2013-2014,43,5,27,0,0,0,30
2080,2014-2015,59,2,24,0,0,10,29
2081,2015-2016,,,,,,,
2082,2007-2008,,,,,,,
2083,2008-2009,,,,,,,
2084,2009-2010,,,,,,,
2085,2010-2011,,,,,,,
2086,2011-2012,,,,,,,
2087,2008-2009,5,5,3,0,0,0,28
2088,2009-2010,6,2,10,0,0,1,33
2089,2010-2011,5,7,7,0,0,2,34
2090,2011-2012,7,9,5,1,0,4,22
2091,2012-2013,6,12,8,2,0,2,40
2092,2013-2014,8,9,15,0,0,5,39
2093,2004-2005,,,,,,,
2094,2005-2006,,,,,,,
2095,2006-2007,,,,,,,
2096,2007-2008,,,,,,,
2097,2014-2015,17,11,20,1,0,0,48
2098,2008-2009,4,5,2,0,0,1,7
2099,2009-2010,4,6,0,0,0,1,7
2100,2010-2011,4,7,3,0,0,0,13
2101,2011-2012,3,4,6,1,0,1,18
2102,2012-2013,2,9,11,0,0,2,17
2103,2013-2014,4,11,11,0,0,3,20
2104,2007-2008,,,,,,,
2105,2014-2015,10,15,9,0,0,0,26
2106,2010-2011,5,0,6,1,1,0,61
2107,2011-2012,4,0,10,1,0,1,69
2108,2012-2013,5,0,7,1,0,2,71
2109,2013-2014,7,1,8,2,0,4,71
2110,2014-2015,9,1,7,2,0,5,67
2111,2015-2016,12,2,10,2,0,0,75
2112,2013-2014,2,0,3,1,0,0,13
2113,2014-2015,11,1,7,3,0,1,35
2114,2015-2016,15,2,9,1,1,4,41
2115,2004-2005,,,,,,,
2116,2005-2006,,,,,,,
2117,2006-2007,,,,,,,
2118,2007-2008,,,,,,,
2119,2008-2009,,,,,,,
2120,2009-2010,,,,,,,
2121,2010-2011,11,0,1,0,0,4,16
2122,2011-2012,16,0,3,0,0,1,21
2123,2012-2013,14,0,3,0,0,5,25
2124,2013-2014,12,0,2,0,0,5,35
2125,2014-2015,9,0,3,0,0,5,42
2126,2015-2016,13,1,9,0,0,20,60
2127,2010-2011,5,1,8,0,0,1,56
2128,2011-2012,7,0,5,1,0,1,65
2129,2012-2013,10,0,8,2,0,4,99
2130,2013-2014,6,0,13,3,1,3,102
2131,2014-2015,11,1,14,3,1,6,111
2132,2015-2016,19,1,14,4,1,11,128
2133,2015-2016,9,1,5,0,1,0,49
2134,2008-2009,,,,,,,
2135,2009-2010,,,,,,,
2136,2010-2011,,,,,,,
2137,2011-2012,,,,,,,
2138,2015-2016,,,,,,,
2139,2015-2016,,,,,,,
2140,2015-2016,,,,,,,
2141,2015-2016,,,,,,,
2142,2015-2016,20,11,28,1,2,,57
2143,2015-2016,,,,,,,
2144,2015-2016,,,,,,,
2145,2014-2015,41,18,9,0,1,8,69
2146,2004-2005,,,,,,,
2147,2005-2006,,,,,,,
2148,2006-2007,,,,,,,
2149,2007-2008,,,,,,,
2150,2008-2009,,,,,,,
2151,2009-2010,,,,,,,
2152,2010-2011,8,4,5,0,0,0,16
2153,2011-2012,9,5,2,0,0,1,9
2154,2012-2013,15,5,6,0,0,3,9
2155,2013-2014,21,5,7,0,0,3,10
2156,2014-2015,36,5,11,0,0,2,10
2157,2015-2016,41,8,13,0,0,2,19
2158,2004-2005,,,,,,,
2159,2005-2006,,,,,,,
2160,2006-2007,,,,,,,
2161,2007-2008,,,,,,,
2162,2008-2009,,,,,,,
2163,2009-2010,,,,,,,
2164,2011-2012,24,1,1,0,0,1,18
2165,2012-2013,24,1,2,0,0,2,21
2166,2013-2014,38,2,2,1,0,3,31
2167,2014-2015,69,1,3,1,0,4,43
2168,2015-2016,94,1,6,0,0,5,45
2169,2016-2017,,,,,,,
2170,2013-2014,0,0,0,0,0,0,0
2171,2014-2015,0,0,0,0,0,0,1
2172,2015-2016,2,0,0,0,0,0,0
2173,2013-2014,0,0,0,0,0,0,0
2174,2014-2015,1,1,0,0,0,0,0
2175,2015-2016,2,1,0,0,0,1,0
2176,2013-2014,0,0,0,0,0,0,1
2177,2014-2015,3,0,0,0,0,0,2
2178,2015-2016,6,0,1,0,0,0,1
2179,2014-2015,0,0,0,0,0,0,2
2180,2015-2016,6,0,0,0,0,0,4
2181,2011-2012,1,0,1,0,0,0,4
2182,2012-2013,2,0,1,0,0,0,7
2183,2013-2014,6,0,3,0,0,3,13
2184,2014-2015,7,2,1,0,0,2,9
2185,2015-2016,12,2,2,0,0,2,7
2186,2011-2012,0,0,0,0,0,0,0
2187,2012-2013,0,0,0,0,0,1,2
2188,2013-2014,1,0,0,0,0,1,2
2189,2014-2015,3,0,0,0,0,1,3
2190,2015-2016,10,0,0,0,0,1,4
2191,2014-2015,4,0,6,1,0,2,5
2192,2004-2005,,,,,,,
2193,2005-2006,,,,,,,
2194,2006-2007,,,,,,,
2195,2007-2008,,,,,,,
2196,2008-2009,,,,,,,
2197,2009-2010,,,,,,,
2198,2010-2011,,,,,,,
2199,2011-2012,,,,,,,
2200,2005-2006,,,,,,,
2201,2006-2007,,,,,,,
2202,2007-2008,,,,,,,
2203,2008-2009,,,,,,,
2204,2009-2010,,,,,,,
2205,2010-2011,,,,,,,
2206,2011-2012,,,,,,,
2207,2008-2009,7,6,0,0,0,1,6
2208,2009-2010,8,3,1,0,1,0,7
2209,2010-2011,6,7,0,0,1,0,11
2210,2011-2012,2,6,1,0,0,0,9
2211,2012-2013,5,7,2,0,0,3,12
2212,2004-2005,,,,,,,
2213,2005-2006,,,,,,,
2214,2006-2007,,,,,,,
2215,2007-2008,,,,,,,
2216,2008-2009,6,5,2,0,0,0,25
2217,2009-2010,10,5,1,0,2,0,35
2218,2010-2011,15,7,2,0,2,4,50
2219,2011-2012,14,10,4,0,0,6,40
2220,2012-2013,16,9,8,0,0,8,48
2221,2004-2005,,,,,,,
2222,2005-2006,,,,,,,
2223,2006-2007,,,,,,,
2224,2007-2008,,,,,,,
2225,2004-2005,,,,,,,
2226,2005-2006,,,,,,,
2227,2006-2007,,,,,,,
2228,2007-2008,,,,,,,
2229,2008-2009,,,,,,,
2230,2009-2010,,,,,,,
2231,2010-2011,,,,,,,
2232,2011-2012,,,,,,,
2233,2008-2009,10,7,2,0,0,0,30
2234,2009-2010,10,9,5,0,0,0,26
2235,2010-2011,8,12,6,0,0,1,27
2236,2011-2012,9,13,5,0,0,4,27
2237,2012-2013,12,8,2,0,0,2,43
2238,2004-2005,,,,,,,
2239,2005-2006,,,,,,,
2240,2006-2007,,,,,,,
2241,2007-2008,,,,,,,
2242,2008-2009,,,,,,,
2243,2009-2010,,,,,,,
2244,2010-2011,,,,,,,
2245,2011-2012,,,,,,,
2246,2010-2011,2,0,4,0,0,0,3
2247,2011-2012,3,1,0,0,0,0,3
2248,2012-2013,3,2,0,0,0,0,1
