Numbs,School Year,Totals Female: Asians (Tot. F),Totals Female: Black/African American (Tot. F),Totals Female: Hispanics of any race (Tot. F),Totals Female: American Indian/Alaska Native (Tot. F),Totals Female: Native Hawaiian/Other Pacific Islander (Tot. F),Totals Female: Two or more races (Tot. F),Totals Female: White (Tot. F)
437,2011-2012,6,0,0,0,0,0,2
438,2010-2011,4,0,0,0,0,0,1
439,2015-2016,11,1,2,0,0,1,11
440,2014-2015,21,4,2,0,0,1,16
441,2013-2014,10,4,3,0,0,1,17
442,2012-2013,9,1,1,0,0,0,10
443,2011-2012,6,2,0,0,0,1,6
444,2010-2011,3,1,0,0,0,1,5
445,2015-2016,30,4,4,0,0,1,17
446,2015-2016,,,,,,,
447,2014-2015,1,,,,,,
448,2015-2016,,,,,,,
449,2015-2016,,,,,,,
450,2013-2014,,,1,,,,1
451,2015-2016,,,,,,,
452,2004-2005,,,,,,,
453,2005-2006,,,,,,,
454,2006-2007,,,,,,,
455,2007-2008,,,,,,,
456,2008-2009,,,,,,,
457,2009-2010,,,,,,,
458,2010-2011,,,,,,,
459,2011-2012,,,,,,,
460,2014-2015,1,3,1,0,0,2,9
461,2013-2014,0,3,1,0,0,2,7
462,2012-2013,1,3,2,0,0,4,6
463,2011-2012,0,3,3,0,0,1,6
464,2010-2011,2,2,1,0,0,1,8
465,2015-2016,3,3,1,0,0,2,17
466,2016-2017,,,,,,,
467,2009-2010,,,,,,,
468,2008-2009,,,,,,,
469,2007-2008,,,,,,,
470,2006-2007,,,,,,,
471,2005-2006,,,,,,,
472,2004-2005,,,,,,,
473,2010-2011,0,54,0,0,0,0,0
474,2011-2012,2,87,0,0,0,0,0
475,2012-2013,1,54,1,0,0,0,0
476,2013-2014,1,50,0,0,0,0,0
477,2014-2015,0,48,1,0,0,0,0
478,2015-2016,1,54,2,0,0,2,0
479,2016-2017,,,,,,,
480,2010-2011,0,5,0,0,0,0,1
481,2011-2012,0,30,0,0,0,0,0
482,2012-2013,0,26,0,0,0,0,0
483,2013-2014,0,22,1,0,0,0,0
484,2014-2015,0,14,0,0,0,0,0
485,2011-2012,2,8,24,0,0,0,4
486,2012-2013,5,8,16,5,0,1,2
487,2013-2014,2,6,35,0,0,2,5
488,2014-2015,3,11,34,0,0,0,9
489,2015-2016,2,8,30,0,0,0,12
490,2014-2015,4,13,44,0,0,3,7
491,2015-2016,7,14,37,1,0,2,5
492,2011-2012,4,4,24,0,0,0,4
493,2012-2013,5,9,27,0,0,0,4
494,2013-2014,6,12,40,0,0,1,7
495,2004-2005,,,,,,,
496,2005-2006,,,,,,,
497,2006-2007,,,,,,,
498,2007-2008,,,,,,,
499,2008-2009,,,,,,,
500,2009-2010,,,,,,,
501,2010-2011,,,,,,,
502,2011-2012,,,,,,,
503,2010-2011,,,,,,,
504,2011-2012,,,,,,,
505,2005-2006,,,,,,,
506,2006-2007,,,,,,,
507,2007-2008,,,,,,,
508,2008-2009,,,,,,,
509,2009-2010,,,,,,,
510,2010-2011,,,,,,,
511,2011-2012,,,,,,,
512,2009-2010,,,,,,,
513,2010-2011,,,,,,,
514,2009-2010,,,,,,,
515,2010-2011,,,,,,,
516,2009-2010,,,,,,,
517,2010-2011,,,,,,,
518,2004-2005,,,,,,,
519,2005-2006,,,,,,,
520,2006-2007,,,,,,,
521,2007-2008,,,,,,,
522,2008-2009,,,,,,,
523,2009-2010,,,,,,,
524,2010-2011,,,,,,,
525,2011-2012,,,,,,,
526,2004-2005,,,,,,,
527,2005-2006,,,,,,,
528,2006-2007,,,,,,,
529,2007-2008,,,,,,,
530,2008-2009,,,,,,,
531,2009-2010,,,,,,,
532,2010-2011,,,,,,,
533,2011-2012,,,,,,,
534,2004-2005,,,,,,,
535,2005-2006,,,,,,,
536,2006-2007,,,,,,,
537,2007-2008,,,,,,,
538,2008-2009,,,,,,,
539,2009-2010,,,,,,,
540,2010-2011,,,,,,,
541,2011-2012,,,,,,,
542,2010-2011,,,,,,,
543,2011-2012,,,,,,,
544,2007-2008,,,,,,,
545,2008-2009,,,,,,,
546,2009-2010,55,11,14,,,20,30
547,2010-2011,67,21,13,,1,15,41
548,2011-2012,76,24,12,,2,17,44
549,2012-2013,78,18,14,1,2,24,42
550,2013-2014,88,21,13,0,2,21,49
551,2009-2010,7,2,1,,,4,5
552,2010-2011,9,3,,,,3,7
553,2011-2012,11,4,2,,,4,5
554,2012-2013,9,5,1,0,0,3,5
555,2013-2014,7,1,1,0,0,2,6
556,2004-2005,,,,,,,
557,2005-2006,,,,,,,
558,2006-2007,,,,,,,
559,2007-2008,,,,,,,
560,2008-2009,,,,,,,
561,2004-2005,,,,,,,
562,2005-2006,,,,,,,
563,2006-2007,,,,,,,
564,2007-2008,,,,,,,
565,2008-2009,,,,,,,
566,2009-2010,12,6,3,,,4,11
